Date,Close,High,Low,Open,Volume,RSI,MA20,MACD,BB_high,BB_low,Return_1d,Volume_z,Ticker
2024-07-11,447.6646423339844,457.58866578342753,444.5633568384772,455.81652839633193,23111200,55.95664702330126,445.845703125,8.684623040083011,461.7387834402113,429.9526228097887,-0.02477208510294293,0.8805877939148498,MSFT
2024-07-12,446.5323791503906,449.29889867197954,443.67725577045155,447.3003093014831,16324300,54.87573352217717,446.46053924560545,7.760474226723829,461.43430221479144,431.48677627641945,-0.0025292665011256155,-0.297172109765915,MSFT
2024-07-15,446.93609619140625,450.18505497376174,444.4452428142979,446.2863044349352,14429400,55.20797536748604,447.06996154785156,6.980192906404056,461.0461867878633,433.09373630783983,0.0009041159384315378,-0.6261100516493265,MSFT
2024-07-16,442.56475830078125,447.27079820143007,439.7490242805094,447.19204922721934,17175700,50.84285629485403,447.4120834350586,5.940604314805682,460.5715766799794,434.2525901901378,-0.009780677658116299,-0.16139083028550646,MSFT
2024-07-17,436.6575927734375,437.9670310742686,432.38474735385836,435.74198947896895,21778000,45.59631098334723,447.17333526611327,4.587185754365748,460.91833887774067,433.4283316544859,-0.013347573245606315,0.6775154204676048,MSFT
2024-07-18,433.5563659667969,437.7701424222079,427.67873564964367,437.46494130393756,20794800,43.082768868374245,446.8794540405273,3.227148154011388,461.49740665421734,432.2615014268373,-0.00710219370501064,0.46035832740431437,MSFT
2024-07-19,430.3468017578125,434.31447643242683,425.3158806469495,426.3988669076758,20940400,40.58896843730789,446.4565994262695,1.8687814002647656,462.4125418604315,430.50065699210757,-0.007402876444513318,0.475418710139457,MSFT
2024-07-22,436.0865783691406,437.7208974938516,432.1189340633458,434.95437784378936,15808800,46.547752709902504,446.11989135742186,1.2411112072044261,462.64266902614503,429.5971136886987,0.013337560748408528,-0.3982851672733135,MSFT
2024-07-23,437.9670104980469,441.45224583194545,436.24408758502966,437.0316974699668,13107100,48.37459638434012,445.9810729980469,0.8852090752641288,462.72734461745875,429.23480137863504,0.004312061462516503,-1.0076817576199482,MSFT
2024-07-24,422.26385498046875,434.64922823221025,420.9741263094996,433.6351660700269,26805800,37.001700714497204,444.8956329345703,-0.6563928537296988,464.5786060625666,425.212659806574,-0.03585465375513286,1.9404649770492024,MSFT
2024-07-25,411.92626953125,423.14987619224735,411.05005574464656,422.1653487650477,29943800,31.71551587815702,443.23375091552737,-2.6813710635203734,467.60080682947114,418.8666950015836,-0.02448134105557509,2.139743139165723,MSFT
2024-07-26,418.68994140625,422.28349032231534,410.8137224917234,411.7293557750341,23583800,37.96057460610774,441.87608642578124,-3.697783345395976,468.43730330339633,415.31486954816614,0.016419617721143975,0.8651710691803819,MSFT
2024-07-29,420.1274108886719,425.46353285919287,418.12882136064246,424.9023450000168,15125800,39.23257175267272,440.88072967529297,-4.33730784290708,469.08459510182024,412.6768642487657,0.0034332553526217335,-0.6257306314918746,MSFT
2024-07-30,416.3763427734375,422.4114705197089,410.90234276735913,421.1020622928212,32687600,37.09521385620785,439.21638641357424,-5.088162294959773,469.033235364818,409.3995374623305,-0.008928406045442094,2.3081187737077107,MSFT
2024-07-31,411.8770751953125,415.25399722383173,405.83206207673004,413.99380325758636,42891400,34.65636421433254,437.20155334472656,-5.977369751718015,468.6453965441641,405.757710145289,-0.01080577140419614,2.8576072255536786,MSFT
2024-08-01,410.65618896484375,420.84605305704525,406.69839983005807,414.2792724511176,30296400,34.00307808554963,435.05233001708984,-6.703316720535042,467.5657286315819,402.53893140259777,-0.0029642004957177726,1.1415694290464784,MSFT
2024-08-02,402.16961669921875,408.57890014493404,398.0838337068482,406.1077265801338,29437900,29.79820966066032,432.14452972412107,-7.872679036717443,465.4882935059901,398.80076594225204,-0.02066588180983564,0.9337608384541598,MSFT
2024-08-05,389.0360412597656,394.83492274068107,379.61410573718445,383.1485859534076,40709200,24.70633362148513,428.64503021240233,-9.746821581184633,464.5611258223792,392.72893460242545,-0.03265680671564919,2.012638177475644,MSFT
2024-08-06,393.427001953125,399.3932659734361,392.33419089963513,393.8109820824443,24946500,29.070258705255966,425.6948944091797,-10.753815923035575,462.97856840908895,388.41122040927047,0.01128677096122166,0.12379988794332591,MSFT
2024-08-07,392.2651672363281,403.7349031701521,391.3200295318529,402.31721163613224,20650900,28.597952913545626,422.3563568115234,-11.512902966873696,459.05340790365017,385.6593057193967,-0.0029531138204268448,-0.4046106218305456,MSFT
2024-08-08,396.4593505859375,399.58028569311574,393.7519001712231,396.2132187300544,20203000,32.839975403708735,419.7960922241211,-11.641849381115662,456.21700466327445,383.3751797849677,0.010692214603603922,-0.43864841956833217,MSFT
2024-08-09,399.7378234863281,401.736413003281,396.0360207139592,397.7786234799922,19276700,36.038781408945304,417.456364440918,-11.348674524081844,452.6996131523132,382.21311572952277,0.008269379686833611,-0.5745572690206902,MSFT
2024-08-12,400.5155944824219,402.43543495594565,397.98535182009545,400.76172633567404,16762900,36.807744932135215,415.1353393554688,-10.927605089121016,448.36371533873523,381.9069633722023,0.001945702784165837,-0.9064622727635715,MSFT
2024-08-13,407.604248046875,408.5297063190277,403.23294345576085,403.25262318981254,19414300,43.47746123635373,413.38731384277344,-9.907699633920402,444.2543101371552,382.5203175483917,0.017698820375805058,-0.6010303345680096,MSFT
2024-08-14,410.41009521484375,411.2568044389076,406.0683556338293,408.38197108714223,18267000,45.9109953594991,412.07493896484374,-8.771891886288017,441.04654124718246,383.103336682505,0.006883753497206158,-0.7132359746119208,MSFT
2024-08-15,415.2627258300781,415.34161674551206,411.9388929382302,414.0495635460023,20752100,49.92634166520286,411.16025695800784,-7.394945004890303,438.46866632074966,383.851847595266,0.011823857823707096,-0.408156728362509,MSFT
2024-08-16,412.7377624511719,415.5684441235936,411.5837759699612,414.83859034033384,22775600,47.93242963247419,410.2798049926758,-6.433289170717728,436.1549174313739,384.40469255397767,-0.006080399761040578,-0.17184243001641883,MSFT
2024-08-19,415.7558288574219,415.97281647426513,410.7552711189502,413.22102581055816,15234000,50.4782659872278,409.26326751708984,-5.365783841785117,432.4621361750827,386.06439885909697,0.007312309850996623,-1.0918546104952986,MSFT
2024-08-20,418.9810485839844,420.0265262237166,415.86436096713305,415.92353667507666,16387600,53.11641420264511,408.31396942138673,-4.210988248715751,428.029164603333,388.59877423944044,0.007757485289926036,-0.9953550085146327,MSFT
2024-08-21,418.330078125,420.5590998224222,415.9432144212139,418.27087232284174,16067300,52.508392989241166,408.1172805786133,-3.310174663993905,427.3443136401383,388.8902475170883,-0.0015536990543711937,-0.9463927447597791,MSFT
2024-08-22,409.8577575683594,420.94381179948715,408.9306313403218,418.54707521874735,19361900,45.24864790757331,408.01385498046875,-3.2425408780436555,427.17997575629806,388.84773420463944,-0.020252716693512585,-0.48129820164897724,MSFT
2024-08-23,411.080810546875,413.51697764071497,406.4451792024677,411.26821033098173,18493800,46.40071874637995,407.6333984375,-3.055033932040999,426.230351840798,389.03644503420196,0.0029840913241996336,-0.5527092106179066,MSFT
2024-08-26,407.8259582519531,411.5640508373135,405.7054152115458,410.6665125068156,13152800,43.76166135315016,407.01832580566406,-3.1329579160265553,424.7135445086111,389.323107102717,-0.007917791858471412,-1.1813379823134658,MSFT
2024-08-27,408.1711730957031,408.6840392458711,404.6303529004273,407.2045864016282,13492900,44.124645185125715,406.60806732177736,-3.1307677402627405,423.7894186048322,389.42671603872253,0.00084647589680098,-1.0341536749687685,MSFT
2024-08-28,404.9756164550781,409.3153393341326,401.7306743732061,409.1969879073614,14882700,41.45719421057335,406.26299438476565,-3.348289724996164,423.2836589122294,389.2423298573019,-0.007828962090558389,-0.8514848246534198,MSFT
2024-08-29,407.4610290527344,416.268697643249,404.9755591436319,409.25610570352524,17045200,44.278651603305086,406.10323638916014,-3.2822892525383054,423.0155974359587,389.1908753423616,0.006137190726227093,-0.45097939316898006,MSFT
